Index,Railway word/phrase - English,German (ÖBB),Hungarian (MAV),en2de,en2hu,de2en,de2hu,hu2en,hu2de
23,Bottleneck,"Engpass, Engstelle",Szűk keresztmetszet,Engpass,Palacknyak,"Bottleneck, bottleneck","Szűk keresztmetszet, szűk keresztmetszet",Congestion,Überlastung
24,Branch line,Anschlussgleis,Mellékvonal,Stichleitung,Ágvonal,siding,mellékvágány,extension Line,Verlängerungslinie
25,Brake category,Bremsreihe,Féktípus,Bremse kategorie,Fék kategória,brake series,fék sorozat,Brake,Bremse
26,Brake disturbance,Bremsstörung,Fékhiba,Bremsstörung,Fék zavar,brake failure,fékhiba,brake failure,Bremsversagen
27,Brake test,Bremsprobe,Fékpróba,Bremstest,Fékvizsgálat,brake test,fékpadon,braking test,Bremstest
28,Brake weight,Bremsgewicht,Féksúly,Bremsgewicht,Féktömeg,braking weight,fékezés súly,Brake weight,Bremsgewicht
29,Breakdown of engine/traction unit,Untaugliches(r) Triebfahrzeug/Triebwagen,Mozdony szolgálatképtelen,Ausfall Motor / Triebfahrzeug,A motor / vontató egység bontása,Disabled locomotive / railcar,Mozgássérült mozdony / vasút,Locomotive unserviceable,Lokomotive unbrauchbar
30,Braking calculation,Bremsrechnung,Megfékezettség számítás,Bremsberechnung,Fékezési számítás,brake bill,fék számla,Calibration calculation,Kalibrierungsberechnung
31,Cancelled trains,ausgefallene Züge,Törölt vonatok,Annullierte Züge,Megszakított vonatok,fancy trains,képzeletbeli vonatok,Deleted trains,Gelöschte Züge
32,Capacity consequences,Kapazitätskonsequenzen,Kapacitás következmények,Kapazitätsfolgen,Kapacitás következmények,capacity consequences,kapacitás következményei,Capacity Consequences,Kapazitätsfolgen
33,Capactity reduction,Kapazitätseinschränkung,Kapacitás csökkentés,Kapazitätsreduzierung,Kapacitáscsökkentés,capacity constraint,kapacitás korlát,Capacity reduction,Kapazitätsreduzierung
34,Catenary,Oberleitung,Felsővezeték,Oberleitung,láncolat,catenary,láncolat,Catenary,Catenary
35,Change in train service,Änderung im Betriebsablauf,Változás a vonat szolgáltatásában,Wechsel im Zugverkehr,A vasúti szolgáltatás változása,Change in operation,Működési változás,Change in train service,Wechsel im Zugverkehr
36,Change of type of traction,Wechsel der Traktionsart,Vontatási nem változása,Wechsel der Traktionsart,A vontatás típusa,Change of traction type,A vontatási típus módosítása,Towing is not a change,Abschleppen ist keine Veränderung
37,Clarify,abklären,Tisztázni,Klären,tisztázza,clarify,tisztázni,To clarify,geklärt
38,Closed section,gesperrter Abschnitt,Elzárt szakasz,Geschlossener Abschnitt,Zárt szakasz,locked section,zárolt szakasz,Closed section,Geschlossener Abschnitt
39,Closed track,gesperrtes Gleis,Elzárt vágány,Geschlossene Strecke,Zárt pálya,locked track,zárolt pálya,Closed track,Geschlossene Strecke
40,Closure by authorities,Behördliche Sperre,Hatósági lezárás,Schließung durch Behörden,A hatóságok bezárása,Official lock,Hivatalos zár,Authority closure,Behördenschließung
41,Collapsed catenary,Zusammenbruch des Oberleitungsnetzes,Leszakadt felsővezeték,Eingeklappte Oberleitung,Összecsukott kontaktvezeték,Collapse of the trolley network,A kocsihálózat összeomlása,Dismantled overhead line,Demontierte Freileitung
42,Colllision,Zusammenstoss,Gázolás,Kollision,Colllision,Collision,ütközés,collision,Kollision
43,Collision with objects in the track area,Zusammenstösse mit Gegenständen im Gleisbereich,Ütközés tárgyakkal a vágány mentén,Kollision mit Objekten im Gleisbereich,Összeütközés a sávban lévő objektumokkal,Clashes with items in the track area,Összegyűjti a sávban lévő elemekkel,Collision with objects along the track,Kollision mit Objekten entlang der Strecke
44,Combined rail transport,Kombinierter Ladungsverkehr ,Kombinált vasúti fuvarozás,Kombinierter Schienenverkehr,Kombinált vasúti szállítás,Combined cargo traffic,Kombinált teherszállítás,Combined rail transport,Kombinierter Schienenverkehr
45,Composition,Zusammensetzung,Összeállítás,Zusammensetzung,Összetétel,composition,összetétel,compilation,Kompilation
46,Confirmation,Bestätigung,Jóváhagyás,Bestätigung,Megerősítés,confirmation,megerősítés,Approval,Genehmigung
47,Congested line,Überfüllte Strecke,Túlterhelt vasútvonal,Überfüllte Leitung,Feszített vonal,Crowded track,Zsúfolt pálya,Overloaded railway line,Überladene Eisenbahnlinie
48,Connecting trains,Anschlusszüge,Csatlakozó vonatok,Anschlusszüge,Csatlakozó vonatok,connecting trains,vonatcsatlakozások,Connecting trains,Anschlusszüge
49,Consignee,Warenempfänger,Címzett,Empfänger,Címzett,consignee,címzett,Addressee,Empfänger
50,Consignment,"Lieferung, Warensendung",Küldemény,Sendung,Küldemény,"Delivery, consignment","Szállítás, szállítmányozás",Package,Sendung
51,Construction works,Instandsetzungsarbeiten,Építési munkák,Bauarbeiten,Építési munkák,repairs,javítások,Construction work,Bauarbeiten
52,Contingency plan,Notfallplan,Veszélyhelyzeti terv,Notfallplan,Készenléti terv,emergency plan,vészhelyzeti terv,Emergency Plan,Notfallplan
53,Coupled/ to couple,"gekuppelt, kuppeln",Kapcsolt/Kapcsolni,Gekoppelt / zu koppeln,Csatolt / páros,"coupled, couple","párosítva, pár",Switched / Contact,Switched / Kontakt
54,Crisis situation,Krisensituation,Krízishelyzet,Krisensituation,Válsághelyzet,crisis situation,válsághelyzet,crisis Situation,Krisensituation
55,Critical traction power supply,kritische Bahnstromversorgung,Kritikus vontatási energiaellátás,Kritische Bahnstromversorgung,Kritikus vontatási áramellátás,critical traction power supply,kritikus vontatási tápegység,Critical traction energy supply,Kritische Traktionsenergieversorgung
56,Damages caused by vandalism,Schaden durch Vandalismus,Vandalizmusból eredő sérülések,Schäden durch Vandalismus,A vandalizmus által okozott károk,Damage due to vandalism,A vandalizmus okozta kár,Injuries resulting from vandalism,Verletzungen durch Vandalismus
57,Danger / no danger,"Gefahr, keine Gefahr",Veszély/Nincs veszély,Gefahr / keine Gefahr,Veszély / nincs veszély,"Danger, no danger","Veszély, nincs veszély",Danger / No danger,Gefahr / keine Gefahr
58,Dangerous Goods,Gefährliche Güter,Veszélyes áru,Gefahrgut,Veszélyes áruk,Dangerous goods,Veszélyes áruk,Dangerous goods,Gefährliche Güter
59,Dangerous goods wagons,Gefahrgutwagen,Veszélyes áruval rakott kocsi,Gefahrgutwagen,Veszélyes áruszállító kocsik,Dangerous goods cars,Veszélyes áruk autók,Dangerous goods trolley,Gefahrgutwagen
60,Defective buffers,defekte Puffer,Sérült ütközők,Defekte Puffer,Hibás pufferek,defective buffers,hibás pufferek,Damaged bumpers,Beschädigte Stoßstangen
61,Delay,Verspätung,Késés,Verzögern,Késleltetés,delay,késés,Delay,Verzögerung
62,Delayed trains,Verspätete Züge,Késett vonatok,Verspätete Züge,Késleltetett vonatok,Delayed trains,Késleltetett vonatok,Delayed trains,Verspätete Züge
63,Damage to the population and the environment,Schäden der Bevölkerung und der Umwelt,Lakosságot érintő és természeti károk,Schäden für Bevölkerung und Umwelt,A lakosság és a környezet károsodása,Damage to the population and the environment,A lakosság és a környezet károsodása,Natural and natural damage,Natürlicher und natürlicher Schaden
64,Damaged railway infrastructure,beschädigte Eisenbahninfrastrukturen,Sérült vasúti infrastruktúra,Beschädigte Eisenbahninfrastruktur,Sérült vasúti infrastruktúra,damaged railway infrastructure,sérült vasúti infrastruktúra,Damaged railway infrastructure,Beschädigte Eisenbahninfrastruktur
65,Damaged railway vehicle,beschädigte Eisenbahnfahrzeuge,Sérült vasúti jármű,Beschädigtes Schienenfahrzeug,Sérült vasúti jármű,damaged railway vehicles,sérült vasúti járművek,Damaged railway vehicle,Beschädigtes Schienenfahrzeug
66,Damaged road vehicles,beschädigte Strassenfahrzeuge,Sérült közúti jármű,Beschädigte Straßenfahrzeuge,Sérült közúti járművek,damaged road vehicles,sérült közúti járművek,Damaged road vehicle,Beschädigtes Straßenfahrzeug
67,Departure,Abfahrt,Indulás,Abfahrt,Indulás,Departure,kijárat,Departures,Abflug
68,Departure time,Abfahrtszeit,Indulási idő,Abfahrtszeit,Indulási idő,departure time,indulási idő,Departure time,Abfahrtszeit
69,Derailment,Entgleisung,Siklás,Entgleisung,kisiklás,derailment,kisiklás,Glide,Gleitflug
70,Derailed of railway vehicles,entgleiste Eisenbahnfahrzeuge,Siklott vasúti járművek,Von Schienenfahrzeugen entgleist,Vasúti járművek kisiklása,derailed railway vehicles,vasúti járművek,Gliding rail vehicles,Gleitende Schienenfahrzeuge
71,Different time at Border Point,Unterschiedliche Zeit am Grenzbahnhof,Más idő a határponton,Unterschiedliche Zeit am Grenzpunkt,Más határidő a határponton,Different time at the border station,Más idő a határállomáson,Another time at the border,Ein anderes Mal an der Grenze
72,Nonfunction of the train running control,Nichtansprechen der Zugbeeinflussung,Vonatközlekedés irányítás nem működik,Ausfall der Zugbeeinflussung,A vonat futásának ellenőrzése,Non-appeal of train control,A vonatirányítás fellebbezése,Train control is not working,Die Zugsteuerung funktioniert nicht
73,Disconnected or earthed track sections,Ausgeschaltete bzw. geerdete Gleisabschnitte,Feszültségmentesített szakasz,Nicht angeschlossene oder geerdete Gleisabschnitte,Leválasztott vagy földelt sínszakaszok,Disconnected or grounded track sections,Leválasztott vagy földelt pályaszakaszok,Disengaged section,Abschnitt gelöst
74,Dispatch center,Betriebsführungszentrale,Üzemirányító Központ,Versandzentrum,Küldő központ,Management center,menedzsment központ,Operational Control Center,Betriebszentrale
75,Dispatcher,"Zuglenker, Betriebskoordinator",Üzemirányító,Dispatcher,diszpécser,"Zuglenker, Operations Coordinator","Zuglenker, Műveleti koordinátor",operation Management,Betriebsführung
76,Display /to display/ notice,Anzeige/darstellen/Ankündigung,Értesítés megjelenítése,Anzeige / Anzeige / Hinweis,Kijelzés / megjelenítés / értesítés,/ View ad / Announcement,/ Nézet hirdetés / Közlemény,Show notification,Benachrichtigung anzeigen
77,Disturbance,Störung,Zavar,Störung,Zavarás,disorder,rendetlenség,Confusion,Störung
78,Disturbance to safety devices,Störung an der Sicherheitseinrichtung,Biztonsági berendezések zavara,Störung von Sicherheitseinrichtungen,A biztonsági berendezések zavarai,Fault at the safety device,Hiba a biztonsági berendezésnél,Malfunction of security equipment,Fehlfunktion der Sicherheitsausrüstung
79,Double-track,zweigleisig,Kétvágányú pálya,Doppelspur,Kétvágányú,double track,kétvágányú,Two track track,Zweispurige Strecke
80,Driver,Triebfahrzeugführer,Mozdonyvezető,Treiber,Sofőr,Train drivers,A mozdonyvezetők,engine driver,Lokomotivführer
81,Driver's cab,Führerstand,Vezetőfülke,Fahrerkabine,Vezetőfülke,cab,taxi,cab,Taxi
82,Driving staff,Fahrpersonal,Mozdonyszemélyzet,Fahrpersonal,Vezetési személyzet,drivers,illesztőprogramok,engine crew,Motor Crew
83,Duration,Dauer,Időtartam,Dauer,tartam,duration,tartam,Period,Zeit
84,Electric brake,Elektrische Bremse,Villamos fék,Elektrische Bremse,Elektromos fék,Electric brake,Elektromos fék,Electric brake,Elektrische Bremse
85,Electric Power Suppy Equipment,Stromversorgungsausrüstung,Elektromos áramellátó berendezés,Stromversorgung Ausrüstung,Elektromos tápegységek,Power Equipment,Power Equipment,Electric power supply equipment,Stromversorgungsanlagen
86,Emergency locomotive,Hilfslok,Segélymozdony,Notlokomotive,Vészhelyzeti mozdony,Hilfslok,Hilfslok,aid Locomotive,Hilfe Lokomotive
87,Emergency stop station,Nothaltestelle,Veszélyhelyzeti tartózkodási állomás,Not-Aus-Station,Vészleállító állomás,emergency station,sürgősségi állomás,Emergency Station,Notfallstation
88,Encounter ban,Begegnungsverbot,Ellenmenet-kizárás,Begegnungsverbot,Találkozás tilalom,encounter ban,találkozás tilalmat,Running against exclusion,Laufen gegen Ausgrenzung
89,End station,Endstation,Rendeltetési állomás,Endstation,Végállomás,final destination,végállomás,Destination Station,Zielbahnhof
90,Endangerment,Gefährdung,Veszélyeztetés,Gefährdung,veszélyeztetettség,endangering,veszélyeztetése,threat,Bedrohung
91,Entire network,gesamtes Netz,Teljes hálózat,Das ganze Netzwerk,Teljes hálózat,entire network,teljes hálózat,Full network,Volles Netzwerk
92,Estimated Border Time,Geschätzte Grenzzeit,Várható idő a határon,Geschätzte Grenzzeit,Becsült határidő,Estimated time limit,Becsült határidő,Expected time at the border,Erwartete Zeit an der Grenze
93,Estimated delay,Geschätzte Verspätung,Várható késés,Voraussichtliche Verspätung,Becsült késedelem,Estimated delay,Becsült késedelem,Expected delay,Erwartete Verspätung
94,Estimated duration of break down,Geschätzte Dauer der Störung,A hiba várható időtartama,Geschätzte Dauer der Panne,A lebontás becsült időtartama,Estimated duration of the disturbance,A zavar becsült időtartama,The expected duration of the error,Die erwartete Dauer des Fehlers
95,Estimated duration of the incident,Geschätzte Dauer des Vorfalls,Az esemény várható időtartama,Geschätzte Dauer des Vorfalls,Az esemény becsült időtartama,Estimated duration of the incident,Az esemény becsült időtartama,Expected duration of the event,Voraussichtliche Dauer der Veranstaltung
96,Estimated time at Border Point,Geschätzte Zeit der Ankunft,Várható idő a határponton,Geschätzte Zeit am Grenzpunkt,Becsült idő a Border Pointnál,Estimated time of arrival,Becsült érkezési idő,Expected time at the border point,Erwartete Zeit am Grenzpunkt
97,Estimated time of arrival,Geschätzte Zeit am Grenzbahnhof,Várható érkezési idő,Voraussichtliche Ankunftszeit,Tervezett érkezési időpont,Estimated time at the border station,Becsült idő a határállomáson,Expected arrival time,Erwartete Ankunftszeit
98,Estimated time of handover,Geschätzte Zeit der Übergabe,Várható átadási idő,Voraussichtlicher Zeitpunkt der Übergabe,Az átadás becsült ideje,Estimated time of delivery,Becsült szállítási idő,Expected delivery time,Voraussichtliche Lieferzeit
99,ETCS perturbation,ETCS-Störung,ETCS zavar,ETCS-Störung,ETCS zavar,ETCS Disorder,ETCS Disorder,ETCS disruption,ETCS-Störung
100,Exceeding the load profile,Lademassüberschreitung,Rakszelvényen túlérő,Überschreitung des Lastprofils,A terhelési profil túllépése,Loading gauge exceeding,Rakszelvényre meghaladó,Oversized on a gauge,Überdimensioniert auf einer Lehre
101,Exceptional transit,aussergewöhnliche Sendung,Rendkívüli küldemény,Außergewöhnlicher Transit,Rendkívüli tranzit,exceptional shipment,kivételes szállítás,Extraordinary shipment,Außerordentlicher Versand
102,Exit signal,Ausfahrsignal,Kijárati jelző,Ausgangssignal,Kilépési jel,Ausfahrsignal,Ausfahrsignal,Exit indicator,Ausgangsanzeige
103,Extra ordinary stop,ausserordentlicher Halt,Rendkívüli megállás,Außergewöhnlicher Halt,Extra rendes megállás,extraordinary hold,rendkívüli tartás,Extraordinary stop,Außergewöhnlicher Halt
104,Extra ordinary transport,Ausserordentliche Durchfahrt,Rendkívüli küldemény,Außergewöhnlicher Transport,Extra rendes szállítás,Extraordinary transit,Rendkívüli tranzit,Extraordinary shipment,Außerordentlicher Versand
105,Fallback Mode Applied,Rückfallmodus verwenden,Csökkentett üzemmód alkalmazva,Fallback-Modus angewendet,Fallback mód alkalmazása,Use fallback mode,Használjon kiegészítő módot,Reduced mode applied,Reduzierter Modus angewendet
106,Fire,Feuer,Tűz,Feuer,Tűz,Fire,tűz,Fire,Feuer
107,Fire-brigade-operation,Feuerwehreinsatz,Tűzoltó szolgálat,Feuerwehr-Einsatz,Tűzoltó-művelet,fire services,tűzoltóság,Fire service,Feuerwehr
108,Fire-fighting and rescue train,Lösch- und Rettungszug,Tűzoltóvonat,Feuerwehr- und Rettungszug,Tűzoltó és mentő vonat,Extinguishing and rescue train,Tűzoltó és mentő vonat,firefighter Train,feuerwehr~~POS=TRUNC Zug
109,Fire in the train,Brand im Zug,Vonattűz,Feuer im Zug,Tűz a vonaton,Fire on the train,Tűz a vonaton,train Fire,Zug Feuer
110,Flood,Flut,Árvíz,Flut,Árvíz,flood,árvíz,Flooding,Flut
111,Forecast,Vorhersage,Előrejelzés,Prognose,Előrejelzés,forecast,előrejelzés,Forecast,Prognose
112,Forecasted Time at Border,Vorhergesagte Zeit am Grenzübergang,Előre jelzett idő a határon,Voraussichtliche Zeit an der Grenze,Előrejelzett idő a határon,Predicted time at the border crossing,Előrejelzett idő a határátkelőhelyen,Predicted time at the border,Voraussichtliche Zeit an der Grenze
113,Foreign object,Fremdkörper,Idegen tárgy,Fremdes Objekt,Idegen tárgy,foreign body,idegen test,Foreign object,Fremdkörper
114,Freight train,Güterzug,Tehervonat,Güterzug,Tehervonat,freight train,tehervonat,goods train,Güterzug
115,Global consequences,Globale Konsequenzen,Átfogó következmény,Globale Konsequenzen,Globális következmények,Global consequences,Globális következmények,Overall Consequence,Gesamtfolge
116,Goods,Güter,Áru,Waren,Áruk,goods,áruk,goods,Waren
117,Handover point,Übergabe-Punkt,Pályavasúti határpont,Übergabepunkt,Átadási pont,Transfer point,Transfer pont,Railway station border point,Grenzübergang zum Bahnhof
118,High-speed rail,Hochgeschwindigkeitsstrecke,Nagysebességű pálya,Hochgeschwindigkeitszug,Nagy sebességű vasút,High-speed rail,A nagysebességű vasúti,High Speed Track,Hochgeschwindigkeitsstrecke
119,High-speed train,Hochgeschwindigkeitszug,Nagysebességű vonat,Hochgeschwindigkeitszug,Gyorsvonat,high speed train,Nagy sebességű vonat,High Speed Train,Hochgeschwindigkeitszug
120,Incident ,Vorfall,Esemény,Vorfall,Incidens,incident,incidens,Event,Ereignis
121,Industrial action,Arbeitskampf,Ipari tevékenység,Arbeitskampf,Ipari tevékenység,labor dispute,munkaügyi vita,Industrial activity,Industrielle Tätigkeit
122,Information,Information,Információ,Information,Információ,information,információ,Information,Informationen
123,Infrastructure Installation Failure ,Infrastruktur-Montage-Fehler,Pályavasúti berendezés hibája,Fehler bei der Installation der Infrastruktur,Infrastruktúra telepítési hiba,Infrastructure installation error,Az infrastruktúra telepítési hiba,Pathway equipment failure,Pathway-Geräteausfall
124,Infrastructure Manager,Infrastrukturbetreiber,Pályahálózat-működtető,Infrastruktur-Manager,Infrastruktúra-kezelő,infrastructure Manager,infrastruktúra menedzser,Infrastructure-actuator,Infrastruktur-Aktor
125,Interchange point,Übergabe-Punkt,Vasúti társaságok átadási helye,Austauschpunkt,Cserepont,Transfer point,Transfer pont,Place of transfer of railway companies,Ort der Übertragung von Eisenbahnunternehmen
126,Interlocking system,Stellwerk,Biztosító berendezés,Verriegelungssystem,Rögzítő rendszer,signal box,jelzőbódé,Security equipment,Sicherheitsausrüstung
127,Interlocking system fault,Stellwerkstörung,Biztosító berendezési hiba,Systemverriegelungsfehler,Záró rendszer hibája,interlocking disorder,egymásba rendellenesség,Security fitting fault,Sicherheitsbeschlagfehler
128,Intermediate point,Übergabe-Punkt,Közbenső pont,Zwischenpunkt,Közbenső pont,Transfer point,Transfer pont,Intermediate point,Zwischenpunkt
129,Intermodal transport,Container Verkehr,Intermodális szállítás,Intermodaler Verkehr,Intermodális szállítás,Container traffic,Konténerforgalom,Intermodal transportation,Intermodaler Verkehr
130,International traffic,Zusammenbruch ins Oberleitungsnetzes,Nemzetközi forgalom,Internationaler Verkehr,Nemzetközi forgalom,Collapse into the overhead line network,Összeomlik a felsővezeték-hálózatba,International traffic,Internationaler Verkehr
131,Interruption Point,Unterbrechungsort,A vonat közlekedés megszakadásának helye,Unterbrechungsstelle,Megszakítási pont,Unterbrechungsort,Unterbrechungsort,Place of interruption of train traffic,Ort der Unterbrechung des Zugverkehrs
132,Interruption Time,Unterbrechungszeit,A vonat közlekedés megszakadásának ideje,Unterbrechungszeit,Megszakítási idő,interruption time,megszakítási idő,Time for train interruption,Zeit für Zugunterbrechung
133,Kilometre point,Zusammenbruch kis Oberleitungsnetzes,Szelvény,Kilometerpunkt,Kilométerpont,Breakdown kis trolley network,A kis trolibusz hálózat megszakítása,section,Abschnitt
134,Landslide,Erdrutsch,Földcsuszamlás,Erdrutsch,Földcsuszamlás,landslide,földcsuszamlás,Landslide,Erdrutsch
135,Lead Railway Undertaking,Führendes Eisenbahnverkehrsunternehmen,Fő vállalkozó vasúti társaság,Führendes Eisenbahnunternehmen,Vezető vasúttársaság,Leading railway company,Vezető vasúttársaság,Main contractor railway company,Hauptauftragnehmer Eisenbahngesellschaft
136,Level crossing,Eisenbahnkreuzung,Útátjáró,Bahnübergang,Vasúti átjáró,Railroad crossing,vasúti átjáróhoz,Gateway road,Gateway-Straße
137,Level crossing and traffic control systems,Bahnübergangs- und Verkehrsregelungsanlagen,Útátjáró automatikus vezérlés,Bahnübergangs- und Verkehrskontrollsysteme,Szintbeli átkelés és forgalomirányítási rendszerek,Level crossing and traffic control systems,Szintbeli átkelés és forgalomirányítási rendszerek,Gateway automatic control,Gateway automatische Steuerung
138,Level crossing out of service,Bahnüberganganlage ausser Betrieb,Útátjáró üzemen kívül,Bahnübergang außer Betrieb,Szintbeli átkelés a szolgálatból,Level crossing system out of service,Szintbeli átkelő rendszer nem működik,Pathway out of operation,Weg außer Betrieb
139,Line from,Strecke von,Vonal -tól,Linie von,Vonal,Stretch of,Nyújtás,Line from,Linie von
140,Line to,Strecke nach,Vonal -ig,Linie zu,Vonalak,Route to,Útvonal,Line up,Aufstellung
141,Loaded train,Beladener Zug,Rakott vonat,Beladener Zug,Betöltött vonat,Loaded train,Betöltött vonat,Stacked train,Gestapelter Zug
142,Loco,Triebfahrzeug,Mozdony,Lok,Loco,train,vonat,Locomotive,Lokomotive
143,Loco Type,Lok-Type,Mozdonysorozat,Loktyp,Loco típus,Lok Type,Lok típusa,locomotive Series,Lok-Serie
144,Locomotives,Lok,Mozdonyok,Lokomotiven,mozdonyok,loco,mozdony,locomotives,Lokomotiven
145,Locomotive failure / locomotive malfunction,Triebfahrzeugstörung,Vontatójármű zavara,Lokversagen / Lokstörung,Mozdonyhiba / mozdony meghibásodása,Locomotive disorder,Mozgásszervi betegségek,Trailer breakdown,Trailer Panne
146,Loss of radio data connection,Datenfunkausfall,Hiba a rádiókapcsolatban,Verlust der Funkdatenverbindung,A rádiós adatkapcsolat elvesztése,Data radio failure,Rádiós adatátviteli hiba,Error in radio communication,Fehler in der Funkkommunikation
147,Maintenance,Erhaltung,Fenntartás,Instandhaltung,Karbantartás,conservation,megőrzés,Maintenance,Reservierung
148,Main track,Hauptgleis,Fővágány,Hauptstrecke,Főbb pálya,main track,fő pályán,main Track,Hauptgleis
149,Malicious Act,Bahnfrevel,Szándékos károkozás,Böswillige Handlung,Rosszindulatú törvény,railway crime,vasúti bűnözés,Intentional damage,Vorsätzliche Beschädigung
150,Marshalling ,Verschub,Rendezés,Marshalling,rendező-,shunting,tolató,Sort by,Sortieren nach
151,Maximum speed,Höchstgeschwindigkeit,Legnagyobb sebesség,Maximale Geschwindigkeit,Maximális sebesség,top speed,végsebesség,Highest speed,Höchste Geschwindigkeit
152,Measure,Maßnahme,Intézkedés,Messen,Intézkedés,measure,intézkedés,Measure,messen
153,National safety authority,NSA,Nemzeti Közlekedési Hatóság,Nationale Sicherheitsbehörde,Nemzeti biztonsági hatóság,NSA,NSA,National transport Authority,Nationale Verkehrsbehörde
154,Natural hazards,Naturgefahren,Természeti veszély,Natürliche Gefahren,Természeti veszélyek,natural hazards,természeti veszélyek,Natural danger,Naturgefahr
155,Notice of a track closure,Anzeige einer Gleissperrung,Értesítés vágányzárról,Bekanntmachung einer Gleisschließung,Értesítés a pálya bezárásáról,Display of a track lock,Műsorszám zárolása,Track lock notification,Benachrichtigung über Sperre verfolgen
156,Observations,Beobachtungen/Überwachungen,Észrevételek,Beobachtungen,Megfigyelések,Observations / monitoring,Megfigyelések / felügyeleti,Comments,Kommentare
157,Obstruction on the track,Hindernis auf der Strecke,Vágány elzárva,Hindernis auf der Strecke,Akadály a pályán,Obstacle on the track,Az akadály a pályán,Track closed,Track geschlossen
158,Occupied track,Besetztes Gleis,Foglalt vágány,Belegte Strecke,Foglalt pálya,Busy track,Foglalt pálya,Busy track,Belebte Strecke
159,On Time,Pünktlich,Pontos,Pünktlich,Időben,In time,pontosan,Accurate,genau
160,Opening of line,"Engpass, Engstelle",Vonal megnyitása,Eröffnung der Linie,A vonal megnyitása,"Bottleneck, bottleneck","Szűk keresztmetszet, szűk keresztmetszet",Open a line,Öffne eine Zeile
161,Operating mode,Betriebsart,Üzemmód (pl. vonatkövetés),Betriebsart,Üzemmód,operating mode,üzemmód,Mode (eg train tracking),Modus (zB Zugverfolgung)
162,Operating track,Betriebsgleis,Üzemelő vágány,Betriebsspur,Működési pálya,operational track,operatív pálya,Operating track,Betriebsspur
